Symbol,Desc,insCode,insID,groupCode
سكرما,سيمان‌ كرمان‌,15472396110662150,IRO1SKER0001,53 
سفارس,سيمان فارس و خوزستان,15521712617204216,IRO1SFKZ0001,53 
ثعمرا,عمران و توسعه شاهد,15726796686853780,IRO3OSHZ0001,70 
ماديرا,صنايع ماديران,15917865009187760,IRO3IOMZ0001,26 
سكارون,سيمان كارون,15930821245168534,IRO7KACP0001,53 
ساروم,سيمان‌اروميه‌,15949743338644220,IRO1SURO0001,53 
كاريز,بيمه زندگي كاريزما50%تاديه,15962072736526551,IRO7CMIZ0001,66 
حپترو,حمل و نقل پتروشيمي( سهامي عام,16369313804633525,IRO1HJPT0001,60 
كخاك,صنايع‌خاك‌چيني‌ايران‌,16405556680571453,IRO1KCHI0001,54 
غفارس,شير پاستوريزه پگاه فارس,16410724132711490,IRO3GFRZ0001,42 
لطيف,محصولات كاغذي لطيف,16422980660132735,IRO3LPCZ0001,21 
خكاوه2,سايپا ديزل,16516751368572219,IRO7SDLP0002,34 
بميلا,توسعه سرمايه گذاري ميلاد پارس,16553062355259729,IRO7MILP0001,46 
درازي,پخش رازي,16567465928886309,IRO3PSRZ0001,43 
شفارا,پتروشيمي فارابي,16673205196919832,IRO7FAPP0001,44 
ثالوند,سرمايه گذاري مسكن الوند,16693610252404739,IRO3SLVZ0001,70 
كازرو,پتروشيمي كازرون,16777570760181431,IRO7PKZP0001,44 
شاملا,معدني‌ املاح‌  ايران‌,16959429956899455,IRO1AMLH0001,44 
غبهنوش,بهنوش‌ ايران‌,17059960254855208,IRO1BENN0001,42 
آواپارس,بيمه اتكايي آواي پارس70% تاديه,17232252152159494,IRO7AVPP0001,66 
واحيا,م .صنايع و معادن احياء سپاهان,17284166795866794,IRO7VHYP0001,56 
خمهر,مهركام‌پارس‌,17330546482145553,IRO1MHKM0001,34 
وتوسم,سرمايه‌گذاري‌توسعه‌ملي‌,17528249960294496,IRO1TMEL0001,56 
آ س پ,آ.س.پ,17617474823279712,IRO3ASPZ0001,70 
ثاخت,بين‌المللي‌توسعه‌ساختمان,17800036702302776,IRO1BSTE0001,70 
خنصير,مهندسي‌نصيرماشين‌,17834623106317041,IRO1MNSR0001,34 
ثغرب,شركت سرمايه گذاري مسكن شمالغرب,17939384202383793,IRO3CGRZ0001,70 
فمراد,آلومراد,18004480270695404,IRO1ALMR0001,27 
كچاد,معدني‌وصنعتي‌چادرملو,18027801615184692,IRO1CHML0001,13 
وبهمن,سرمايه‌گذاري‌بهمن‌,18063426072758458,IRO1SBAH0001,56 
دتوليد,داروسازي توليد دارو,18093681647131179,IRO3DTDZ0001,43 
دفرا,فرآورده‌هاي‌ تزريقي‌ ايران‌,18303237082155264,IRO1FTIR0001,43 
شصفها,پتروشيمي‌ اصفهان‌,18346219759153870,IRO7PESP0001,44 
غپينو,پارس‌ مينو,18401147983387689,IRO1MINO0001,42 
ثاميد,توسعه و عمران اميد,18568733593280948,IRO1TOOM0001,70 
اميد,تامين سرمايه اميد,18599703143458101,IRO1OMID0001,67 
ثرود,سرمايه‌گذاري مسكن زاينده رود,18883380772506226,IRO3ZNDZ0001,70 
نوري,پتروشيمي نوري,19040514831923530,IRO1NORI0001,44 
